Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Arrecadado;Tipo
1718032101;Serviços de Atendimento Móvel as Urgências - SAMU 192;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;1123500.00;122745.00;1
1718031100;Piso de Atenção Básica Fixo - PAB Fixo;07/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;1608000.00;133934.67;1
1118023100;Imposto sobre Serviços de Qualquer Natureza  ISS;02/01/2019;BANCO DO BRASIL S.A.;00.000.000/0099-03;5700000.00;4478.21;1
1118023100;Imposto sobre Serviços de Qualquer Natureza  ISS;02/01/2019;BANCO DO BRASIL S.A.;00.000.000/0099-03;5700000.00;1656.99;1
1118023100;Imposto sobre Serviços de Qualquer Natureza  ISS;02/01/2019;BANCO DO BRASIL S.A.;00.000.000/0099-03;5700000.00;407.11;1
1118023100;Imposto sobre Serviços de Qualquer Natureza  ISS;02/01/2019;BANCO DO BRASIL S.A.;00.000.000/0099-03;5700000.00;20346.70;1
1118023100;Imposto sobre Serviços de Qualquer Natureza  ISS;02/01/2019;BANCO DO BRASIL S.A.;00.000.000/0099-03;5700000.00;190.36;1
1118023100;Imposto sobre Serviços de Qualquer Natureza  ISS;02/01/2019;BANCO DO BRASIL S.A.;00.000.000/0099-03;5700000.00;25.76;1
1728011100;Cota-Parte do ICMS Estadual;02/01/2019;BANCO DO BRASIL S.A.;00.000.000/0099-03;15500000.00;301254.33;1
9728011100;Dedução da Receita do ICMS Estadual - FUNDEB e Redutor Financeiro;02/01/2019;BANCO DO BRASIL S.A.;00.000.000/0099-03;-3100000.00;-60250.86;1
1758011100;Transferências de Recursos do FUNDEB;02/01/2019;BANCO DO BRASIL S.A.;00.000.000/0099-03;17797757.00;152374.45;1
2300061100;Amortização de Empréstimos Contratuais  Principal;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;150000.00;294.32;1
2300061100;Amortização de Empréstimos Contratuais  Principal;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;150000.00;189.66;1
1118023100;Imposto sobre Serviços de Qualquer Natureza  ISS;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;5700000.00;236.6;1
1118023100;Imposto sobre Serviços de Qualquer Natureza  ISS;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;5700000.00;638.78;1
1118023100;Imposto sobre Serviços de Qualquer Natureza  ISS;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;5700000.00;16.07;1
1118011100;Imposto sobre a Propriedade Predial e Territorial Urbana;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;920000.00;506.36;1
1118011100;Imposto sobre a Propriedade Predial e Territorial Urbana;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;920000.00;5615.87;1
1118011100;Imposto sobre a Propriedade Predial e Territorial Urbana;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;920000.00;242.97;1
1118011100;Imposto sobre a Propriedade Predial e Territorial Urbana;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;920000.00;6401.80;1
1121011104;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e ;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;450000.00;164.5;1
1118014100;Imposto sobre Transmissão Inter Vivos de Bens Imóveis e de Direitos Reais sobre Imóveis;02/01/2019;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;1500000.00;1390.53;1
