Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Arrecadado;Tipo
1722010101;COTA-PARTE DO ICMS;03/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;185560.68;1
1722010101;COTA-PARTE DO ICMS;04/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;8081.80;1
1722010101;COTA-PARTE DO ICMS;07/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;4231.39;1
1722010101;COTA-PARTE DO ICMS;08/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;10536.53;1
1722010101;COTA-PARTE DO ICMS;15/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;103118.27;1
1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;179782.86;1
1722010101;COTA-PARTE DO ICMS;29/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;197902.01;1
9722010101;DEDUÇÃO DE RECEITA PARA A FORMAÇÃO DO FUNDEF/ ICMS;03/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-1672400.00;-37112.13;1
9722010101;DEDUÇÃO DE RECEITA PARA A FORMAÇÃO DO FUNDEF/ ICMS;04/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-1672400.00;-1616.36;1
1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;718666.28;1
9722010101;DEDUÇÃO DE RECEITA PARA A FORMAÇÃO DO FUNDEF/ ICMS;08/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-1672400.00;-2107.30;1
9722010101;DEDUÇÃO DE RECEITA PARA A FORMAÇÃO DO FUNDEF/ ICMS;15/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-1672400.00;-20623.65;1
1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;18/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;104125.15;1
9722010101;DEDUÇÃO DE RECEITA PARA A FORMAÇÃO DO FUNDEF/ ICMS;29/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-1672400.00;-39580.40;1
1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;18/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;220109.04;1
1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;30/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;27586.67;1
1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;30/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;691586.67;1
9721010201;DEDUÇÃO DE RECEITA DO FPM/ FUNDEF E REDUTOR FINANCEIRO;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-4756000.00;-179689.82;1
1113050002;SNA - SIMPLES NACIONAL;31/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;2075.64;1
1113050002;SNA - SIMPLES NACIONAL;03/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;111.96;1
1113050002;SNA - SIMPLES NACIONAL;07/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;57.17;1
1113050002;SNA - SIMPLES NACIONAL;28/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;5592.81;1
1113050002;SNA - SIMPLES NACIONAL;09/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;5;1
1113050002;SNA - SIMPLES NACIONAL;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;107.32;1
1113050002;SNA - SIMPLES NACIONAL;11/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;5;1
1113050002;SNA - SIMPLES NACIONAL;14/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;1224.76;1
1113050002;SNA - SIMPLES NACIONAL;15/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;136.62;1
1113050002;SNA - SIMPLES NACIONAL;16/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;2153.56;1
1113050002;SNA - SIMPLES NACIONAL;17/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;1344.31;1
1113050002;SNA - SIMPLES NACIONAL;18/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;1034.25;1
1113050002;SNA - SIMPLES NACIONAL;21/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;1548.27;1
1113050002;SNA - SIMPLES NACIONAL;22/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;3212.34;1
1113050002;SNA - SIMPLES NACIONAL;24/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;29388.57;1
1113050002;SNA - SIMPLES NACIONAL;25/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;1366.81;1
1113050002;SNA - SIMPLES NACIONAL;28/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;5.05;1
1113050002;SNA - SIMPLES NACIONAL;29/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;274.96;1
1113050002;SNA - SIMPLES NACIONAL;31/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;10.25;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;07/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;597.06;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;08/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;1327.41;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;22/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;3085.90;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;22/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;302.92;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;22/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;239409.92;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;08/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;216.19;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;08/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;4287.75;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;08/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;1439.01;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;113.82;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;426.34;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;187735.94;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;132707.60;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;15/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;2540.65;1
1724010001;TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB;15/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;15580000.00;219.38;1
