NÚMERO;DATA;ÓRGÃO;DESPESA;FAVORECIDO;DATA INCLUSÃO;VALOR R$;LIQUIDADO R$;PAGO R$;SALDO R$
244;30/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319003 - Pensões do RPPS e do militar;344 - PENSÃO PREVIDENCIARIA;05/01/2022;27418.22;27418.22;27418.22;0.00
243;30/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 - Aposentadorias do RPPS. Reserva Remunerada e Reformas dos Militares;APOSENTADOS - INATIVOS DA CAMARA MUNICIPAL;05/01/2022;2529.13;2529.13;2529.13;0.00
242;30/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 - Aposentadorias do RPPS. Reserva Remunerada e Reformas dos Militares;8 APOSENTADOS;05/01/2022;45492.00;45492.00;45492.00;0.00
241;30/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319003 - Pensões do RPPS e do militar;29 PENSIONISTAS;05/01/2022;134818.14;134818.14;133718.14;1100.00
240;30/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319001 - Aposentadorias do RPPS. Reserva Remunerada e Reformas dos Militares;2 - INATIVOS;05/01/2022;1250505.86;1250505.86;1247205.86;3300.00
239;30/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;1 - COMISSIONADOS;05/01/2022;18100.00;18100.00;18100.00;0.00
238;27/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;NEMESSIS - CONTABILIDADE;29/12/2021;2500.00;2500.00;2500.00;0.00
237;27/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;JOAO PESSOA TRIBUNAL DE JUSTICA DO ESTADO DA PARAIBA;28/12/2021;131.61;131.61;131.61;0.00
236;27/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;WALLACE DE OLIVEIRA LIMA;28/12/2021;170.00;170.00;170.00;0.00
235;15/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;INOVE CONSULTORIA ATUARIAL LTDA;20/12/2021;3000.00;3000.00;3000.00;0.00
234;15/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;INOVE CONSULTORIA ATUARIAL LTDA;20/12/2021;3000.00;3000.00;3000.00;0.00
233;15/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;339039 - Outros Serviços de Terceiros - Pessoa Jurídica;INOVE CONSULTORIA ATUARIAL LTDA;20/12/2021;3000.00;3000.00;3000.00;0.00
232;10/12/2021;02031 - Instituto de Previdência e Assistência Municipal de Cajazeiras;319013 - Obrigações Patronais;INSS;14/12/2021;5401.00;5401.00;5401.00;0.00
