 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1218012100-Contribuição do Servidor Civil Inativo;02/01/2020;FOLHA DE PAGAMENTO;;3.000,00;0;288,83
2;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;02/01/2020;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8.883.500,00;0;127.438,25
3;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;02/01/2020;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8.883.500,00;0;230.758,95
4;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;02/01/2020;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8.883.500,00;0;81.500,78
5;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;02/01/2020;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8.883.500,00;0;62.605,77
6;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;02/01/2020;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8.883.500,00;0;141.753,28
7;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;02/01/2020;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8.883.500,00;0;212.691,34
8;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;02/01/2020;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8.883.500,00;0;61.618,68
9;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;02/01/2020;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8.883.500,00;0;81.073,30
10;1990031100-Compensações Financeiras entre o Regime Geral e os Regimes Próprios de Previdência dos Servidores;08/01/2020;INSS;29.979.036/0169-00;1.300.000,00;0;78.040,53
11;1218011102-Contribuição de Servidor Ativo Civil - SCTRANS;20/01/2020;SCTRANS;04.342.393/0001-72;47.000,00;0;2.169,36
12;1218011101-Contribuição de Servidor Ativo Civil - Prefeitura;21/01/2020;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;6.000.000,00;0;80.725,71
13;1218011101-Contribuição de Servidor Ativo Civil - Prefeitura;21/01/2020;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;6.000.000,00;0;14.267,43
