 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;31/01/2017;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;4.981.589,00;0;38.609,09
2;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;31/01/2017;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;4.981.589,00;0;40.474,75
3;1210290701-Contribuição de Servidor Ativo Civil - Câmara;27/01/2017;CAMARA MUNICIPAL DE CAJAZEIRAS;08.841.553/0001-89;43.167,00;0;3.198,03
4;7210290200-Contribuição Patronal - Câmara - Intra-Orçamentária;27/01/2017;CAMARA MUNICIPAL DE CAJAZEIRAS;08.841.553/0001-89;123.600,00;0;6.361,21
5;7210290200-Contribuição Patronal - Câmara - Intra-Orçamentária;30/01/2017;CAMARA MUNICIPAL DE CAJAZEIRAS;08.841.553/0001-89;123.600,00;0;144,36
6;1328100000-Remuneração dos Investimentos do Regime Próprio de Previdência do Servidor em Renda Fixa;31/01/2017;BANCO DO BRASIL SA;00.000.000/1641-19;1.805.168,00;0;23.413,19
7;1328100000-Remuneração dos Investimentos do Regime Próprio de Previdência do Servidor em Renda Fixa;31/01/2017;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;1.805.168,00;0;55.745,13
8;1328100000-Remuneração dos Investimentos do Regime Próprio de Previdência do Servidor em Renda Fixa;31/01/2017;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;1.805.168,00;0;17.532,32
9;1328100000-Remuneração dos Investimentos do Regime Próprio de Previdência do Servidor em Renda Fixa;31/01/2017;BANCO SANTANDER;11.180.607/0001-17;1.805.168,00;0;10.089,18
10;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;26/01/2017;SINFUMC - SINDICATO DOS FUNC MUNICIPAIS DE CAJAZEIRAS - PB;01.987.336/0001-52;4.981.589,00;0;203.133,85
11;7210290200-Contribuição Patronal - Câmara - Intra-Orçamentária;27/01/2017;CAMARA MUNICIPAL DE CAJAZEIRAS;08.841.553/0001-89;123.600,00;0;1.409,07
12;1328100000-Remuneração dos Investimentos do Regime Próprio de Previdência do Servidor em Renda Fixa;28/02/2017;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;1.805.168,00;0;54.769,55
13;1328100000-Remuneração dos Investimentos do Regime Próprio de Previdência do Servidor em Renda Fixa;28/02/2017;BANCO SANTANDER;11.180.607/0001-17;1.805.168,00;0;8.333,35
14;1210290701-Contribuição de Servidor Ativo Civil - Câmara;24/02/2017;CAMARA MUNICIPAL DE CAJAZEIRAS;08.841.553/0001-89;43.167,00;0;3.078,49
