 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;29/01/2015;FOLHA DE PAGAMENTO;;3.537.787,00;0;411,91
2;1210290703-Contribuição de Servidor Ativo Civil - SCTRANS;21/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;20.998,00;0;1.629,46
3;1210290703-Contribuição de Servidor Ativo Civil - SCTRANS;21/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;20.998,00;0;1.615,22
4;1210290703-Contribuição de Servidor Ativo Civil - SCTRANS;21/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;20.998,00;0;1.615,22
5;1210290703-Contribuição de Servidor Ativo Civil - SCTRANS;21/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;20.998,00;0;1.699,50
6;1210290703-Contribuição de Servidor Ativo Civil - SCTRANS;21/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;20.998,00;0;1.698,40
7;1210290703-Contribuição de Servidor Ativo Civil - SCTRANS;21/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;20.998,00;0;1.578,29
8;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;13/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;5.527,67
9;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;28/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;914,76
10;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;28/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;39.805,18
11;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;28/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;8.131,78
12;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;28/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;15.575,06
13;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;20/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;138.840,40
14;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;21/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;27.936,31
15;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;23/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;4.075,83
16;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;13/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;3.044,96
17;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;21/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;26.564,96
18;7210290100-Contribuição Patronal - Prefeitura - Intra-Orçamentária;16/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;5.478.261,00;0;4.347,52
19;7210290200-Contribuição Patronal - Câmara - Intra-Orçamentária;30/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;81.440,00;0;6.079,52
20;1210290701-Contribuição de Servidor Ativo Civil - Câmara;30/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;33.143,00;0;3.015,06
21;7210290100-Contribuição Patronal - Prefeitura - Intra-Orçamentária;16/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;5.478.261,00;0;6.139,74
22;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;12/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;18.387,22
23;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;28/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;5.527,67
24;1325019900-Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;30/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;1.200.000,00;0;10.829,54
25;1325019900-Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;30/01/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;1.200.000,00;0;63.818,79
26;1325019900-Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;30/01/2015;BANCO SANTANDER;11.180.607/0001-17;1.200.000,00;0;14.252,76
27;1922100000-Compensações Financ.entre o Reg.Geral e os Regimes Próp.de Prev.dos Servidores;08/01/2015;BANCO DO BRASIL SA;00.000.000/1641-19;500.000,00;0;30.029,74
28;1325019900-Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;30/01/2015;BANCO DO BRASIL SA;00.000.000/1641-19;1.200.000,00;0;45.806,67
29;1325019900-Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;30/01/2015;BANCO DO BRASIL SA;00.000.000/1641-19;1.200.000,00;0;17.871,95
31;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;10/02/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;28.685,29
32;1210290702-Contribuição de Servidor Ativo Civil - Prefeitura;10/02/2015;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;3.537.787,00;0;28.797,81
